family_id,leader_id,compound,title,family_countries,has_ES
45840985,US-20150125443-A1,Polatuzumab_vedotin,COMBINED THERAPEUTIC USE OF ANTIBODIES AND ENDOGLYCOSIDASES,CN;CY;DK;EP;ES;GB;HR;HU;IN;JP;LT;PL;PT;SI;TR;US;WO,True
91803985,EP-4647440-A1,Polatuzumab_vedotin,TROP2 IMMUNOGENIC PEPTIDE,CN;EP;KR;US;WO,False
54393004,US-20170067921-A1,Polatuzumab_vedotin,ISOTOPIC IDENTIFICATION AND TRACING OF BIOLOGIC PRODUCTS,US;WO,False
60570233,US-11466094-B2,Polatuzumab_vedotin,Dosing for treatment with anti-CD20/anti-CD3 bispecific antibodies,AU;CA;CN;EP;HK;IL;JP;KR;MX;TW;US;WO,False
77338594,US-20240350589-A1,Polatuzumab_vedotin,IL-2/IL-15RBETAGAMMA AGONIST COMBINATION WITH ANTIBODY-DRUG CONJUGATES FOR TREATING CANCER,AU;CA;EP;JP;KR;US;WO,False
85793668,TW-I881239-B,Polatuzumab_vedotin,PHARMACEUTICAL COMPOSITION FOR SUBCUTANEOUS INJECTION COMPRISING HUMAN HYALURONIDASE PH20 VARIANT AND DRUG,TW,False
70975231,US-20210386680-A1,Polatuzumab_vedotin,SELECTIVELY CLEAVABLE THERAPEUTIC NANOPARTICLES,US;WO,False
85076025,US-20230263783-A1,Polatuzumab_vedotin,CANCER TREATMENT BY COMBINED INHIBITION OF POLO-LIKE KINASE AND MICROTUBULE POLYMERIZATION,EP;US;WO,False
76954599,AU-2022288678-A1,Polatuzumab_vedotin,NEW FORMULATIONS COMPRISING BIOLOGIC ACTIVE DRUGS,AU;CA;CN;EP;GB;HK;IN;JP;KR;US;WO,False
94282745,WO-2025019834-A2,Polatuzumab_vedotin,SYNTHETIC LETHAL GENE REPAIR FOR CANCER THERAPY,WO,False
80356102,US-20220062372-A1,Polatuzumab_vedotin,METHODS FOR TREATING DISEASE AND REDUCING DRUG-INDUCED LIVER INJURY IN PATIENT POPULATIONS,US;WO,False
84544973,US-20240189341-A1,Polatuzumab_vedotin,PHARMACEUTICAL COMBINATION AND USE THEREOF,CN;US;WO,False
67874498,EP-4640714-A2,Polatuzumab_vedotin,METHODS FOR ASSESSING RISK OF DEVELOPING A VIRAL DISEASE USING A GENETIC TEST,AU;CA;DE;DK;EP;ES;FI;HK;HR;SI;US;WO;ZA,True
87517409,WO-2025021997-A1,Polatuzumab_vedotin,NEW MAP4K1 INHIBITORS,EP;WO,False
88600304,WO-2025073856-A1,Polatuzumab_vedotin,"COMBINATION OF ANTIBODIES, OR ANTIGEN-BINDING FRAGMENTS THEREOF, FOR THE TREATMENT OF CANCERS",AU;CA;CN;EP;KR;WO,False
97961125,WO-2025255180-A1,Polatuzumab_vedotin,COMBINATION THERAPY USING CELL IMMUNOTHERAPY AND AN ANTI-CANCER AGENT FOR TREATING CANCER,WO,False
96271321,US-20250387420-A1,Polatuzumab_vedotin,Prevention of Nausea and Vomiting from Antibody-Drug Conjugates and other Long-Acting Emetogenics,TW;US;WO,False
76864707,WO-2021146436-A2,Polatuzumab_vedotin,BIASED IL2 MUTEINS METHODS AND COMPOSITIONS,AU;CA;CN;EP;HK;IL;JP;KR;MX;US;WO;ZA,False
57199370,US-20180036285-A1,Polatuzumab_vedotin,"METHODS AND COMPOSITIONS FOR REVERSING DISRUPTION OF THE GLYCOCALYX, INFLAMMATION, AND OXIDATIVE DAMAGE",CA;US;WO,False
72611090,SG-11202110512W-A,Polatuzumab_vedotin,"PHARMACEUTICAL COMPOSITION, COMPRISING HUMAN HYALURONIDASE PH20 VARIANT AND DRUG, FOR SUBCUTANEOUS INJECTION",AU;BR;CA;CL;CN;CO;CR;DO;EA;EC;EP;HK;ID;IL;IN;IR;JO;JP;KR;MO;MX;MY;NI;PE;PH;RU;SA;SG;TH;US;VN;WO;ZA,False
96092845,WO-2025245470-A1,Polatuzumab_vedotin,SYRINGE WITH BUILT-IN LUBRICATION FOR MEDICAL USE,WO,False
87158053,US-20240122847-A1,Polatuzumab_vedotin,ORAL POLYPEPTIDE FORMULATIONS,IN;TW;US;WO,False
62627108,US-20200188528-A1,Polatuzumab_vedotin,PEPTIDE-ANTIBODY COMPOSITIONS AND METHODS OF USE THEREOF,US;WO,False
87158271,US-20240122860-A1,Polatuzumab_vedotin,POLYPEPTIDE FORMULATIONS FOR ORAL DELIVERY,EP;IN;TW;US;WO,False
73014580,US-20220152216-A1,Polatuzumab_vedotin,ANTIBODY-POLYMER CONJUGATES,CN;EP;JP;KR;TR;US;WO,False
