family_id,leader_id,compound,title,family_countries,has_ES
41199352,US-8962614-B2,Cytarabine,ON01910.Na enhances chemotherapeutic agent activity in drug-resistant tumors,AU;CA;CN;EP;JP;KR;NZ;RU;US;WO,False
52425560,US-11566222-B2,Cytarabine,γδ T cell expansion procedure,AU;CA;CN;DK;EP;GB;IN;JP;KR;MX;RU;US;WO;ZA,False
53279769,US-20150197526-A1,Cytarabine,SELECTIVE EFFLUX INHIBITORS AND RELATED PHARMACEUTICAL COMPOSITIONS AND METHODS OF TREATMENT,US,False
65657407,WO-2020165315-A1,Cytarabine,USE OF USP7 INHIBITORS FOR THE TREATMENT OF ACUTE MYELOID LEUKEMIA (AML),EP;US;WO,False
37899346,MX-2008004244-A,Cytarabine,THE USE OF PHTHALIDE DERIVATIVES.,AU;BR;CA;CN;EP;IN;JP;KR;MX;RU;US;WO,False
75911870,WO-2021094827-A1,Cytarabine,USE OF BISANTRENE TO TREAT MEASURABLE RESIDUAL DISEASE IN ACUTE MYELOID LEUKEMIA,WO,False
47262153,US-9339555-B2,Cytarabine,Acid-labile lipophilic prodrugs of cancer chemotherapeutic agents,AU;CA;CN;EP;IN;JP;KR;MX;NZ;SG;US;VN;WO,False
32908595,AU-2004213029-A1,Cytarabine,Composition and methods for inhibiting cell survival,AU;CA;EP;US;WO,False
57320446,WO-2016187122-A1,Cytarabine,METHODS FOR TREATING TUMORS IN SITU INCLUDING INTRATUMOR INJECTION OF CYTOTOXIC PARTICLES AND IMMUNE CHECKPOINT BLOCKADE THERAPY,US;WO,False
44237393,WO-2011143590-A1,Cytarabine,COMBINATION THERAPY COMPOSITIONS AND METHODS USING LIPOIC ACID DERIVATIVES AND AN ANTI-PROLIFERATION AGENT,WO,False
61157311,CA-3050094-C,Cytarabine,TREATMENT OF CANCER CELLS OVEREXPRESSING SOMATOSTATIN RECEPTORS USING OCREOTIDE DERIVATIVES CHELATED TO RADIOISOTOPES,AU;CA;CN;DK;EP;ES;FI;HR;HU;IL;JP;KR;LT;PL;PT;RS;SI;SM;US;WO,True
39362382,AU-2004201676-A1,Cytarabine,Methods of treating leukemia,AT;AU;BR;CA;CN;CZ;DE;DK;EP;ES;HK;HU;IL;IN;IS;JP;KR;MX;NO;NZ;PL;SK;US;WO;ZA,True
81209410,WO-2022082180-A1,Cytarabine,COMBINATIONS OF BCL-2 INHIBITORS WITH CHEMOTHERAPEUTIC AGENTS,CN;EP;HK;JP;TW;US;WO,False
57943194,US-20180231553-A1,Cytarabine,"COMPOSITION FOR ANTICANCER ADJUVANT COMPRISING RIP3 EXPRESSION PROMOTER AS ACTIVE INGREDIENT, METHOD FOR SCREENING ANTICANCER ADJUVANT WHICH PROMOTES RIP3 EXPRESSION AND ENHANCES SENSITIVITY OF ANTICA",KR;US;WO,False
55661533,US-20160243142-A1,Cytarabine,AVICIN D FOR TREATMENT OF MANTLE CELL LYMPHOMA,US;WO,False
41728426,US-20110281813-A1,Cytarabine,METHOD OF TREATING C-KIT POSITIVE RELAPSED ACUTE MYELOID LEUKEMIA,US;WO,False
59021598,US-20220251196-A1,Cytarabine,Low dose antibody-based methods for treating hematologic malignancies,CA;EP;JP;US;WO,False
