family_id,leader_id,compound,title,family_countries,has_ES
46650947,EP-3321281-B1,Brentuximab_vedotin,P97 FRAGMENTS WITH TRANSFER ACTIVITY,AU;CA;DK;EP;ES;HK;NO;PL;PT;US;WO,True
53479670,US-9890136-B2,Brentuximab_vedotin,Selective HDAC6 inhibitors,CA;US;WO,False
62186503,US-20200199169-A1,Brentuximab_vedotin,BIS 2&apos;-5&apos;-RR-(3&apos;F-A)(3&apos;F-A) CYCLIC DINUCLEOTIDE COMPOUND AND USES THEREOF,AU;BR;CA;CN;EP;IN;JP;KR;MX;TW;US;UY;WO,False
51625619,US-10543283-B2,Brentuximab_vedotin,Intranasal administration of guanidinylated aminoglycosides,US;WO,False
57614460,CA-3006758-A1,Brentuximab_vedotin,"CYCLING THERAPY USING 3-(5-AMINO-2-METHYL-4-OXO-4H-QUINAZOLIN-3-YL)-PIPERIDINE-2,6-DIONE",AU;BR;CA;CL;EA;EP;IL;JP;KR;MX;SG;US;WO,False
71787033,US-20240132567-A1,Brentuximab_vedotin,METHODS OF TREATING CANCER,AU;BR;CA;CL;CN;CO;EP;HK;ID;IL;IN;JP;KR;MA;MX;MY;RU;SG;US;WO;ZA,False
88730985,WO-2023220336-A1,Brentuximab_vedotin,"METHODS, SYSTEMS, AND APPARATUS FOR ADMINISTERING AN ANTIBODY TREATMENT VIA INFUSION",US;WO,False
70726247,US-20200157087-A1,Brentuximab_vedotin,MACROCYCLIC COMPLEXES OF ALPHA-EMITTING RADIONUCLIDES AND THEIR USE IN TARGETED RADIOTHERAPY OF CANCER,AU;CA;CN;EP;IL;JP;KR;MX;SG;US;WO,False
54264904,US-20150293086-A1,Brentuximab_vedotin,LATERAL FLOW IMMUNOASSAY,EP;US;WO,False
83195348,US-20220287986-A1,Brentuximab_vedotin,Intraarterial (IA) Application of Low Dose of Ethyl Alcohol Enables Blood-Brain Barrier (BBB) Impermeable Therapeutics Brain Entry,US,False
52777137,US-20150099005-A1,Brentuximab_vedotin,HIGH DRUG LOADING SYSTEM TO CO-DELIVER ANTICANCER DRUGS AND NUCLEIC ACIDS FOR CANCER THERAPY,US,False
64735459,WO-2018232502-A1,Brentuximab_vedotin,TRANSFECTION REAGENTS FOR DELIVERY OF NUCLEIC ACIDS,CA;US;WO,False
93520815,WO-2025096626-A1,Brentuximab_vedotin,METHODS OF TREATING CANCERS USING ANTI-CD30 ANTIBODY-DRUG CONJUGATES,TW;WO,False
-1,HK-40063153-A,Brentuximab_vedotin,SAPONIN CONJUGATES,AU;BR;CA;CN;DK;EP;ES;HK;ID;IL;IN;JP;KR;MX;NZ;PT;RU;SG;US;WO,True
52293317,US-20180208577-A1,Brentuximab_vedotin,Compounds and Methods of Use,AU;CA;CN;CY;DK;EP;ES;HK;HR;HU;IN;JP;LT;PL;PT;RS;SI;US;WO,True
84229198,WO-2022251496-A1,Brentuximab_vedotin,"RIGIDIFIED MACROCYCLES, COMPLEXES WITH RADIONUCLIDES, AND USE IN TARGETED RADIOTHERAPY OF CANCER",US;WO,False
59496710,BR-112018015979-A2,Brentuximab_vedotin,composições farmacêuticas e métodos para combater a cardiotoxicidade induzida por quimioterapia,AU;BR;CA;CN;CO;EP;HK;ID;IL;IN;JP;KR;MX;MY;NZ;PH;RU;SG;TH;US;VN;WO;ZA,False
72659328,EP-4028542-B1,Brentuximab_vedotin,"COMPOSITIONS, METHODS, AND KITS FOR DETECTION OF LIPOLYTIC ACTIVITY",CN;EP;ES;HK;JP;KR;US;WO,True
56563560,US-20250134837-A1,Brentuximab_vedotin,COMBINATIONS OF IRS/STAT3 DUAL MODULATORS AND ANTI-CANCER AGENTS FOR TREATING CANCER,AU;BR;CA;CN;EP;ES;IL;IN;JP;KR;US;WO,True
51625178,US-11666549-B2,Brentuximab_vedotin,Regulation of cancer using natural compounds and/or diet,AU;BR;CA;CN;EP;IN;JP;US;WO,False
69414919,US-20210340481-A1,Brentuximab_vedotin,ALGINATE HOLLOW MICROFIBER,CN;EP;JP;US;WO,False
63556360,AU-2018287514-B2,Brentuximab_vedotin,Diagnosis and treatment of cancer,AU;CA;CN;EP;JP;KR;US;WO,False
52468665,CA-2926792-C,Brentuximab_vedotin,A NOVEL PLGA-MODIFIED POLYETHYLENIMINE SELF-ASSEMBLY NANOTECHNOLOGY FOR NUCLEIC ACID AND DRUG DELIVERY,CA;CN;EP;HK;US;WO,False
57226832,EP-3165237-A1,Brentuximab_vedotin,ANTIBODY-DRUG CONJUGATE (ADC) AND METHOD FOR FORMING THE SAME,CN;EP;JP;TW;US,False
58103423,US-20170056504-A1,Brentuximab_vedotin,METHOD OF EXTENDING HALF-LIFE OF CRYSTALINE ANTIBODIES,US,False
